gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Mean TFH	Mean TH1	TFH:TFH_Rep1	TFH:TFH_Rep2	TH1:TH1_Rep1	TH1:TH1_Rep2
Mir3068	2.48	-0.04	0.31	-0.14	0.89	2	2.22	2.74	1.33	3.11	5.48	0
Mir3074-1	2.17	-0.09	0.3	-0.32	0.75	2	1.56	2.79	0	3.11	3.13	2.44
Mir3091	1.33	0.02	0.25	0.1	0.92	2	1.45	1.22	1.33	1.56	0	2.44
Mir30b	0.53	0.02	0.16	0.13	0.9	2	0.67	0.39	1.33	0	0.78	0
Mir30c-1	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mir31	16.87	-0.65	0.45	-1.44	0.15	2	9.62	24.12	10.68	8.56	14.09	34.16
Mir3100	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
Mir3101	30.76	0.18	0.43	0.42	0.67	0.82	33.97	27.56	45.38	22.56	25.83	29.28
Mir3112	25.08	0.66	0.45	1.46	0.14	0.33	35.53	14.62	54.73	16.34	21.92	7.32
Mir32	0.67	0.11	0.17	0.63	0.53	2	1.33	0	2.67	0	0	0
Mir320	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mir324	8.24	0.05	0.43	0.11	0.91	2	8.73	7.75	12.01	5.45	9.39	6.1
Mir326	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
Mir328	1.64	0.15	0.27	0.55	0.58	2	2.5	0.78	2.67	2.33	1.57	0
Mir33	0.33	0.09	0.15	0.56	0.57	2	0.67	0	1.33	0	0	0
Mir330	3.21	-0.16	0.33	-0.5	0.62	2	2.11	4.31	2.67	1.56	8.61	0
Mir331	1.89	0.19	0.28	0.67	0.5	2	3	0.78	1.33	4.67	1.57	0
Mir339	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mir343	2.31	-0.09	0.32	-0.27	0.79	2	1.83	2.79	1.33	2.33	3.13	2.44
Mir345	2.03	0.04	0.29	0.14	0.89	2	2.22	1.83	1.33	3.11	0	3.66
Mir3474	1	-0.11	0.23	-0.51	0.61	2	0.39	1.61	0	0.78	0.78	2.44
Mir363	2.06	0.11	0.29	0.39	0.7	2	2.72	1.39	0	5.45	1.57	1.22
Mir367	0.78	0.12	0.18	0.69	0.49	2	1.56	0	0	3.11	0	0
Mir374	1.25	0.24	0.24	0.98	0.33	2	2.5	0	2.67	2.33	0	0
Mir421	8.38	0.36	0.41	0.88	0.38	2	12.07	4.7	18.69	5.45	9.39	0
Mir423	0.53	0.02	0.16	0.13	0.9	2	0.67	0.39	1.33	0	0.78	0
Mir425	1.51	-0.08	0.26	-0.32	0.75	2	1.06	1.96	1.33	0.78	3.91	0
Mir429	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Mir449c	0.5	-0.02	0.16	-0.1	0.92	2	0.39	0.61	0	0.78	0	1.22
Mir466i	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mir467f	0.86	0.16	0.2	0.79	0.43	2	1.72	0	2.67	0.78	0	0
Mir484	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
Mir491	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mir599	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Mir669h	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mir677	13.25	-0.14	0.45	-0.3	0.76	2	11.79	14.72	17.35	6.22	6.26	23.18
Mir682	0.59	-0.1	0.16	-0.6	0.55	2	0	1.17	0	0	2.35	0
Mir684-1	4.97	-0.61	0.36	-1.68	0.093	2	0.39	9.54	0	0.78	0.78	18.3
Mir690	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
Mir692-1	2.09	0.08	0.29	0.28	0.78	2	2.61	1.57	1.33	3.89	3.13	0
Mir697	7.18	-0.41	0.43	-0.97	0.33	2	4.23	10.14	5.34	3.11	11.74	8.54
Mir7-1	13.49	-0.12	0.45	-0.25	0.8	2	12.4	14.58	14.68	10.11	13.31	15.86
Mir703	1.61	0.04	0.28	0.16	0.87	2	1.83	1.39	1.33	2.33	1.57	1.22
Mir704	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
Mir707	0.92	0.02	0.22	0.1	0.92	2	1.06	0.78	1.33	0.78	1.57	0
Mir709	1.47	-0.03	0.26	-0.11	0.92	2	1.33	1.61	2.67	0	0.78	2.44
Mir715	74.91	0.18	0.37	0.5	0.62	0.79	80.94	68.89	65.4	96.47	85.32	52.46
Mir761	4.04	0.1	0.37	0.27	0.79	2	4.73	3.35	4	5.45	5.48	1.22
Mir877	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mir93	1.36	0.16	0.24	0.66	0.51	2	2.33	0.39	0	4.67	0.78	0
Mir98	0.67	0.11	0.17	0.63	0.53	2	1.33	0	2.67	0	0	0
Mirlet7d	6.64	-0.59	0.4	-1.48	0.14	2	2	11.28	4	0	5.48	17.08
Mirlet7f-2	0.72	0.14	0.19	0.73	0.47	2	1.45	0	1.33	1.56	0	0
Mirlet7g	1.83	-0.15	0.3	-0.5	0.61	2	1.06	2.61	1.33	0.78	1.57	3.66
Mirlet7i	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mis12	1623.99	0.1	0.18	0.54	0.59	0.77	1679.77	1568.21	1604.42	1755.12	1461.4	1675.03
Mitd1	852.31	-0.08	0.2	-0.39	0.69	0.84	827.67	876.96	818.23	837.1	791.36	962.56
Mitf	6.73	-0.23	0.42	-0.54	0.59	2	5	8.45	5.34	4.67	4.7	12.2
Mki67	20848.06	-0.28	0.17	-1.72	0.086	0.23	18722.24	22973.88	17375	20069.48	24311.46	21636.31
Mki67ip	1318.91	0.3	0.18	1.68	0.093	0.24	1462.06	1175.76	1513.66	1410.47	1202.31	1149.22
Mkks	421.66	-0.06	0.22	-0.25	0.8	0.9	413.05	430.26	404.44	421.66	446.95	413.57
Mkl1	2404.56	0.39	0.17	2.22	0.026	0.1	2737.14	2071.98	2636.22	2838.06	2215.18	1928.79
Mkl2	1020.5	0.57	0.22	2.59	0.0096	0.048	1232.59	808.42	1189.3	1275.88	980	636.83
Mkln1	1704.39	0.12	0.17	0.69	0.49	0.69	1777.66	1631.12	1821.99	1733.33	1603.07	1659.17
Mknk1	882.1	-0.1	0.19	-0.52	0.6	0.77	849.79	914.41	842.25	857.33	862.59	966.22
Mknk2	8149.76	0.18	0.16	1.13	0.26	0.47	8676.63	7622.9	8533.33	8819.93	7941.79	7304.01
Mkrn1	2113.17	0.04	0.2	0.21	0.84	0.92	2144.37	2081.97	2231.77	2056.97	1714.22	2449.72
Mkrn2	735.61	-0.23	0.2	-1.12	0.26	0.48	675.47	795.76	702.1	648.83	868.07	723.45
Mkrn3	0.64	0	0.17	0.03	0.98	2	0.67	0.61	1.33	0	0	1.22
Mks1	169.95	0.4	0.29	1.4	0.16	0.35	196.64	143.27	222.91	170.38	129.15	157.38
Mlc1	0.61	-0.1	0.16	-0.6	0.55	2	0	1.22	0	0	0	2.44
Mlec	15180.93	0.11	0.17	0.66	0.51	0.71	15788.34	14573.52	16348.55	15228.13	13127.51	16019.53
Mlf1	31.36	-0.55	0.44	-1.26	0.21	0.41	22.13	40.58	24.03	20.23	25.05	56.12
Mlf1ip	128.54	-0.37	0.3	-1.21	0.22	0.43	109.91	147.17	105.45	114.36	147.94	146.4
Mlf2	2661.74	-0.11	0.21	-0.51	0.61	0.78	2560.34	2763.13	2704.29	2416.4	3348.61	2177.66
Mlh1	845.97	0.3	0.19	1.59	0.11	0.28	939.54	752.41	979.74	899.34	776.49	728.33
Mlh3	414.3	0.54	0.22	2.42	0.015	0.069	495.49	333.1	475.19	515.8	309.97	356.23
Mlkl	222.13	-0.6	0.27	-2.26	0.024	0.094	172.29	271.96	197.55	147.04	275.53	268.4
Mll1	2994.05	-0.09	0.17	-0.51	0.61	0.78	2900.37	3087.74	2825.76	2974.98	3302.43	2873.05
Mll2	3133.29	-0.15	0.17	-0.92	0.36	0.58	2959.04	3307.53	2803.07	3115.02	3229.63	3385.44
Mll3	1556.83	-0.13	0.19	-0.7	0.48	0.69	1480.31	1633.34	1293.41	1667.21	1603.86	1662.83
Mll5	4713.16	0.26	0.2	1.31	0.19	0.39	5160.33	4266	5315.15	5005.51	5116.06	3415.94
Mllt1	1137.5	0.01	0.19	0.04	0.97	0.98	1141.61	1133.38	1165.27	1117.95	1238.31	1028.44
Mllt10	1543.98	0.26	0.18	1.5	0.13	0.31	1691.55	1396.41	1729.89	1653.2	1460.61	1332.22
Mllt11	432.53	-0.27	0.22	-1.22	0.22	0.43	389.76	475.29	389.76	389.77	515.05	435.53
Mllt3	2296.26	0.58	0.18	3.26	0.0011	0.0087	2768.72	1823.81	2804.4	2733.03	1992.1	1655.51
Mllt4	329.01	-0.46	0.25	-1.82	0.069	0.2	273.92	384.1	313.68	234.17	426.6	341.59
Mllt6	6698.79	0.12	0.16	0.73	0.47	0.68	6980.26	6417.31	7091.76	6868.76	6715.22	6119.41
Mlst8	959.74	-0.11	0.19	-0.58	0.56	0.75	922.18	997.3	926.35	918.01	969.83	1024.78
Mlx	3086.56	-0.63	0.44	-1.43	0.15	0.34	2046.73	4126.4	2076.94	2016.52	2112.64	6140.15
Mlxip	2232.96	0.21	0.17	1.22	0.22	0.43	2398.81	2067.11	2461.36	2336.27	2027.32	2106.9
Mlxipl	4.11	-0.27	0.37	-0.72	0.47	2	2.39	5.84	4	0.78	3.13	8.54
Mlycd	292.68	-0.66	0.26	-2.57	0.01	0.05	219.7	365.66	212.23	227.17	298.23	433.09
Mmaa	110.58	-0.25	0.32	-0.8	0.42	0.64	99.4	121.75	105.45	93.36	116.63	126.88
Mmab	268.97	0.55	0.25	2.19	0.028	0.11	324.34	213.6	357.72	290.96	202.73	224.48
Mmachc	164.83	0.01	0.32	0.04	0.97	0.98	166.45	163.22	178.86	154.04	221.52	104.92
Mmadhc	1119.87	-0.34	0.2	-1.69	0.09	0.24	979.76	1259.98	945.03	1014.48	1075.5	1444.45
Mmd	1592.46	-0.02	0.19	-0.13	0.9	0.95	1578.3	1606.61	1472.28	1684.32	1806.59	1406.63
Mmel1	0.39	0.09	0.16	0.58	0.56	2	0.78	0	0	1.56	0	0
Mmgt1	647.32	0.39	0.2	1.93	0.054	0.17	739.99	554.64	716.78	763.2	595.67	513.61
Mmgt2	466.17	-0.15	0.22	-0.67	0.5	0.7	439.97	492.36	445.82	434.11	432.08	552.65
Mmp10	3.72	-0.45	0.35	-1.27	0.2	2	0.78	6.66	0	1.56	2.35	10.98
Mmp11	14.43	-0.57	0.45	-1.25	0.21	2	8.84	20.03	10.68	7	15.66	24.4
Mmp13	1.81	-0.33	0.28	-1.18	0.24	2	0	3.61	0	0	2.35	4.88
Mmp14	47.99	-1.55	0.45	-3.44	0.00057	0.0051	11.51	84.47	16.02	7	16.44	152.5
Mmp15	4.48	0.27	0.39	0.7	0.49	2	6.17	2.79	5.34	7	3.13	2.44
Mmp17	13.16	0.08	0.45	0.19	0.85	2	14.18	12.14	21.36	7	13.31	10.98
Mmp19	4.54	0.11	0.37	0.3	0.76	2	5.34	3.74	1.33	9.34	6.26	1.22
Mmp20	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Mmp21	0.39	-0.09	0.16	-0.58	0.56	2	0	0.78	0	0	1.57	0
Mmp23	1.31	-0.24	0.24	-0.99	0.32	2	0	2.61	0	0	1.57	3.66
Mmp24	0.7	-0.13	0.19	-0.71	0.48	2	0	1.39	0	0	1.57	1.22
Mmp25	12.88	-0.81	0.45	-1.81	0.07	2	4.95	20.81	1.33	8.56	17.22	24.4
Mmp7	1.09	-0.13	0.23	-0.57	0.57	2	0.39	1.78	0	0.78	2.35	1.22
Mmp8	18.14	0.04	0.45	0.09	0.93	2	18.51	17.76	16.02	21.01	17.22	18.3
Mmp9	64.58	-1.34	0.41	-3.27	0.0011	0.0083	27.18	101.98	14.68	39.68	67.32	136.64
Mmrn1	0.39	-0.09	0.16	-0.58	0.56	2	0	0.78	0	0	1.57	0
Mmrn2	0.8	-0.07	0.19	-0.34	0.73	2	0.39	1.22	0	0.78	0	2.44
Mms19	2687.6	-0.03	0.17	-0.19	0.85	0.92	2655.81	2719.39	2824.42	2487.19	2631.61	2807.17
Mms22l	2259.92	0.09	0.17	0.54	0.59	0.77	2335.42	2184.41	2235.78	2435.07	2288.76	2080.06
Mn1	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
Mnat1	303.57	0.08	0.24	0.33	0.74	0.86	312.26	294.88	301.66	322.86	278.66	311.09
Mnd1	48.93	0.34	0.39	0.87	0.39	0.6	56.82	41.05	65.4	48.23	43.05	39.04
Mnda	121.15	0.14	0.39	0.36	0.72	0.85	129.64	112.67	125.47	133.81	186.29	39.04
Mndal	2534.25	0.06	0.17	0.36	0.72	0.85	2588.28	2480.22	2526.76	2649.79	2509.5	2450.94
Mns1	969.94	-0.11	0.27	-0.42	0.67	0.82	927.61	1012.26	1025.12	830.1	641.07	1383.46
Mnt	1130.34	0.1	0.19	0.5	0.62	0.78	1169.6	1091.07	1245.36	1093.84	1009.75	1172.4
Mobkl1a	546.79	-0.09	0.2	-0.42	0.68	0.82	529.75	563.82	531.25	528.25	562.8	564.85
Mobkl1b	3173.17	0.31	0.17	1.8	0.072	0.2	3530.76	2815.58	3358.34	3703.17	3047.25	2583.91
Mobkl2a	6720	0.12	0.18	0.65	0.52	0.71	7001.95	6438.04	7003.66	7000.24	7309.33	5566.76
Mobkl2b	54.53	0.65	0.39	1.69	0.091	0.24	70.05	39.01	65.4	74.69	32.88	45.14
Mobkl2c	210.17	-0.55	0.26	-2.07	0.038	0.13	167.23	253.11	178.86	155.6	262.22	244
Mobkl3	841.68	-0.02	0.19	-0.09	0.93	0.96	836.44	846.92	806.22	866.67	903.29	790.55
Mocos	49.02	-1.23	0.4	-3.09	0.002	0.014	23.51	74.52	21.36	25.67	78.28	70.76
Mocs1	362.14	0.33	0.23	1.47	0.14	0.32	406.61	317.67	416.46	396.77	319.36	315.97
Mocs2	563.11	-0.58	0.21	-2.82	0.0048	0.028	444.4	681.81	429.8	459.01	653.6	710.03
Mocs3	99.12	-0.09	0.33	-0.28	0.78	0.88	95	103.25	78.75	111.25	106.45	100.04
Mogs	2176.1	-0.06	0.17	-0.33	0.74	0.86	2132.01	2220.18	2165.03	2098.98	2154.13	2286.24
Mon1a	355.4	-0.18	0.23	-0.78	0.43	0.65	331.89	378.91	323.02	340.75	379.63	378.19
Mon1b	1454.32	0.2	0.19	1.03	0.3	0.52	1560.57	1348.08	1465.6	1655.54	1520.1	1176.06
Mon2	2522.61	0.08	0.18	0.48	0.63	0.8	2598.45	2446.77	2540.11	2656.79	2223.01	2670.53
Morc1	0.89	-0.17	0.21	-0.81	0.42	2	0	1.78	0	0	2.35	1.22
Morc2a	2077.66	0.07	0.17	0.42	0.68	0.82	2131	2024.32	2022.21	2239.8	2032.02	2016.62
Morc3	3351.31	-0.05	0.16	-0.3	0.76	0.88	3291.87	3410.76	3255.56	3328.19	3316.51	3505
Morc4	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Morf4l1	7165.21	0.09	0.17	0.54	0.59	0.77	7402.48	6927.95	7357.38	7447.58	6190.78	7665.12
Morf4l2	2422.24	-0.15	0.18	-0.84	0.4	0.62	2289.94	2554.55	2427.99	2151.89	2326.34	2782.77
Morn1	5.29	0.15	0.4	0.39	0.7	2	6.45	4.13	6.67	6.22	7.04	1.22
Morn2	16.8	-0.24	0.45	-0.52	0.6	2	14.23	19.36	16.02	12.45	28.96	9.76
Morn3	5.68	-0.44	0.41	-1.08	0.28	2	2.78	8.58	4	1.56	8.61	8.54
Morn4	19.92	0.56	0.45	1.25	0.21	2	26.74	13.1	20.02	33.45	16.44	9.76
Mosc1	0.59	-0.1	0.16	-0.6	0.55	2	0	1.17	0	0	2.35	0
Mosc2	1875.1	-0.39	0.2	-1.92	0.055	0.17	1610.62	2139.58	1556.37	1664.87	1752.58	2526.57
Mospd1	146.22	-0.21	0.31	-0.7	0.49	0.69	134.38	158.07	157.51	111.25	183.16	132.98
Mospd2	307.23	0.03	0.24	0.14	0.89	0.94	310.82	303.65	309.67	311.97	266.92	340.37
Mospd3	1031.85	0.03	0.21	0.15	0.88	0.94	1044.36	1019.34	1019.78	1068.94	1205.44	833.25
Mospd4	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mov10	2009.63	0.41	0.2	2.09	0.037	0.13	2312.2	1707.07	2243.79	2380.61	2003.84	1410.29
Moxd1	2.67	0.17	0.32	0.53	0.6	2	3.73	1.61	6.67	0.78	0.78	2.44
Moxd2	1.64	-0.18	0.27	-0.65	0.51	2	0.67	2.61	1.33	0	1.57	3.66
Mpa2l	1085.47	-0.31	0.21	-1.47	0.14	0.32	962.38	1208.56	990.42	934.35	1438.7	978.42
Mpdu1	1177.49	-0.26	0.21	-1.26	0.21	0.41	1065.23	1289.74	1091.86	1038.6	1519.32	1060.16
Mpeg1	193.78	0.21	0.36	0.58	0.56	0.75	210.7	176.87	208.23	213.17	74.36	279.37
Mpg	209.75	0.32	0.29	1.08	0.28	0.5	236.5	182.99	262.95	210.05	229.35	136.64
Mphosph10	1001.6	0.06	0.18	0.35	0.73	0.85	1024.58	978.62	1014.44	1034.71	958.09	999.16
Mphosph6	450.62	-0.37	0.23	-1.61	0.11	0.27	388.11	513.14	419.13	357.09	440.69	585.59
Mphosph8	1114.95	-0.13	0.21	-0.65	0.52	0.71	1059.42	1170.49	1011.77	1107.06	983.13	1357.84
Mphosph9	1402.39	0.19	0.18	1.06	0.29	0.51	1498.58	1306.2	1401.53	1595.63	1300.93	1311.48
Mpi	418.56	-0.21	0.22	-0.97	0.33	0.55	385.76	451.36	381.75	389.77	439.12	463.59
Mpl	0.39	0.09	0.16	0.58	0.56	2	0.78	0	0	1.56	0	0
Mpnd	549.29	-0.92	0.23	-3.9	9.40E-05	0.0011	367.74	730.85	345.71	389.77	589.41	872.28
Mpo	2.83	-0.47	0.32	-1.47	0.14	2	0	5.66	0	0	1.57	9.76
Mpp1	1249.56	0.42	0.2	2.11	0.035	0.12	1440.09	1059.03	1464.27	1415.92	1214.05	904
Mpp2	169.48	0.17	0.28	0.62	0.53	0.72	180.68	158.28	176.19	185.16	151.85	164.7
Mpp3	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
Mpp4	3.09	0.19	0.34	0.55	0.58	2	4.17	2	1.33	7	1.57	2.44
Mpp5	302.48	0.2	0.24	0.85	0.4	0.62	326	278.95	337.7	314.3	302.92	254.98
Mpp6	1300.77	-0.12	0.21	-0.57	0.57	0.75	1243.95	1357.58	1249.37	1238.54	1116.99	1598.17
Mpp7	266.06	0.49	0.24	1.99	0.046	0.15	314.44	217.68	317.68	311.19	223.08	212.28
Mppe1	838.46	0.16	0.19	0.82	0.41	0.63	887.12	789.79	941.03	833.21	778.05	801.53
Mprip	1780.93	-0.38	0.17	-2.18	0.03	0.11	1538.9	2022.96	1482.96	1594.85	1956.09	2089.82
Mpst	311.29	-0.27	0.24	-1.12	0.26	0.48	279.85	342.74	256.28	303.41	347.54	337.93
Mpv17	277.48	0.43	0.25	1.71	0.087	0.23	322.28	232.68	340.37	304.19	256.74	208.62
Mpv17l	12.76	0.23	0.44	0.52	0.6	2	15.51	10	14.68	16.34	18.79	1.22
Mpv17l2	290.77	-0.36	0.24	-1.52	0.13	0.3	251.51	330.03	260.28	242.73	331.89	328.17
Mpz	0.53	0.02	0.16	0.13	0.9	2	0.67	0.39	1.33	0	0.78	0
Mpzl1	12.33	-0.03	0.45	-0.06	0.95	2	12.12	12.53	13.35	10.89	14.09	10.98
Mpzl2	13.29	0.31	0.45	0.68	0.5	2	16.4	10.19	22.69	10.11	9.39	10.98
Mpzl3	224.03	0.25	0.27	0.93	0.35	0.57	244.71	203.36	210.9	278.52	206.65	200.08
Mr1	237.3	0.33	0.28	1.2	0.23	0.44	268.58	206.02	303	234.17	247.35	164.7
Mrap2	0.39	0.09	0.16	0.58	0.56	2	0.78	0	0	1.56	0	0
Mras	0.83	0.05	0.21	0.22	0.83	2	1.06	0.61	1.33	0.78	0	1.22
Mrc1	4.06	0.38	0.37	1.03	0.3	2	6.51	1.61	10.68	2.33	0.78	2.44
Mre11a	1426.76	-0.14	0.18	-0.78	0.44	0.65	1352.63	1500.89	1332.12	1373.13	1379.21	1622.57
Mreg	2.7	0.01	0.33	0.04	0.97	2	2.78	2.61	4	1.56	1.57	3.66
Mrfap1	2807.9	0.12	0.17	0.73	0.46	0.67	2930.74	2685.07	2881.82	2979.65	2754.5	2615.63
Mrgpra2a	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Mrgpra2b	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Mrgprb1	1.64	-0.18	0.27	-0.65	0.51	2	0.67	2.61	1.33	0	1.57	3.66
Mrgpre	167.72	-0.38	0.29	-1.31	0.19	0.39	143.21	192.23	140.15	146.26	224.65	159.82
Mrgprh	0.5	-0.1	0.16	-0.6	0.55	2	0	1	0	0	0.78	1.22
Mri1	297.45	-0.42	0.25	-1.7	0.09	0.24	249.72	345.18	244.27	255.18	295.1	395.27
Mrm1	227.2	-0.01	0.26	-0.03	0.98	0.99	226.82	227.57	238.93	214.72	227	228.14
Mrp63	541.59	0.33	0.25	1.31	0.19	0.39	610.45	472.72	571.29	649.61	605.07	340.37
Mrpl1	708.83	0.18	0.23	0.79	0.43	0.65	757.52	660.14	782.19	732.85	805.45	514.83
Mrpl10	1996.27	-0.03	0.17	-0.15	0.88	0.94	1978.29	2014.25	1996.85	1959.72	2037.5	1991
Mrpl11	640.68	0.08	0.22	0.37	0.71	0.84	659.12	622.23	556.61	761.64	580.8	663.67
Mrpl12	862.13	-0.16	0.21	-0.76	0.45	0.66	811.21	913.05	791.53	830.88	775.71	1050.4
Mrpl13	613.83	-0.61	0.2	-3.05	0.0023	0.016	478.71	748.94	471.18	486.24	756.14	741.75
Mrpl14	106.52	-0.19	0.32	-0.58	0.56	0.75	98.45	114.6	93.44	103.47	129.15	100.04
Mrpl15	1263.68	-0.21	0.18	-1.17	0.24	0.45	1166.49	1360.87	1109.21	1223.76	1406.6	1315.14
Mrpl16	621.58	-0.48	0.21	-2.32	0.02	0.084	512.72	730.44	473.85	551.59	693.52	767.37
Mrpl17	597.16	-0.21	0.22	-0.99	0.32	0.54	550.71	643.61	555.27	546.14	735.79	551.43
Mrpl18	1163.05	-0.4	0.21	-1.92	0.054	0.17	992.88	1333.21	955.71	1030.04	1573.33	1093.1
Mrpl19	1052.5	-0.01	0.19	-0.03	0.97	0.99	1050.9	1054.09	1114.55	987.25	1091.94	1016.24
Mrpl2	493.31	-0.3	0.21	-1.4	0.16	0.35	440.02	546.61	440.48	439.56	569.84	523.37
Mrpl20	752.54	-0.47	0.21	-2.25	0.024	0.096	625.66	879.43	655.38	595.93	987.83	771.03
Mrpl21	461.99	-0.84	0.25	-3.36	0.00078	0.0065	319.27	604.71	320.35	318.19	457.91	751.51
Mrpl22	323.53	-0.27	0.23	-1.18	0.24	0.45	290.75	356.31	293.65	287.85	371.02	341.59
Mrpl23	186.64	-0.05	0.34	-0.13	0.9	0.95	183.04	190.23	124.14	241.95	264.57	115.9
Mrpl24	1156.14	-0.03	0.2	-0.15	0.88	0.94	1143.28	1168.99	1173.28	1113.29	997.22	1340.76
Mrpl27	544.87	-0.16	0.22	-0.72	0.47	0.68	513.21	576.53	463.17	563.26	619.94	533.13
Mrpl28	826.58	-0.83	0.24	-3.38	0.00071	0.006	576.86	1076.29	507.22	646.5	798.41	1354.18
Mrpl3	1503.31	0.29	0.18	1.64	0.1	0.26	1660.53	1346.09	1564.38	1756.67	1330.68	1361.5
Mrpl30	1006.6	-0.32	0.22	-1.45	0.15	0.33	887.96	1125.25	808.88	967.03	1352.59	897.9
Mrpl32	615.63	0.11	0.2	0.54	0.59	0.76	640.93	590.33	626.02	655.83	631.68	548.99
Mrpl33	953.62	-0.93	0.2	-4.53	6.00E-06	9.70E-05	640.56	1266.68	545.93	735.19	1304.85	1228.52
Mrpl34	337.74	-0.05	0.32	-0.16	0.87	0.94	331.04	344.45	281.64	380.43	509.57	179.34
Mrpl35	618.27	0.04	0.21	0.21	0.84	0.92	628.64	607.89	619.34	637.94	680.21	535.57
Mrpl36	1111.3	0.27	0.19	1.45	0.15	0.33	1219.91	1002.69	1300.09	1139.74	985.48	1019.9
Mrpl37	1407.09	-0.13	0.18	-0.74	0.46	0.67	1338.62	1475.57	1313.44	1363.79	1384.69	1566.45
Mrpl38	342.19	0.42	0.3	1.41	0.16	0.35	398.72	285.66	417.79	379.65	396.85	174.46
Mrpl39	789.5	-0.04	0.22	-0.19	0.85	0.92	778.72	800.28	840.92	716.52	928.34	672.21
Mrpl4	1148.38	-0.31	0.22	-1.39	0.16	0.35	1018.22	1278.54	959.72	1076.72	1561.59	995.5
Mrpl40	712.8	-0.69	0.21	-3.33	0.00087	0.0071	537.22	888.38	591.31	483.12	831.28	945.48
Mrpl41	315.22	-0.17	0.26	-0.66	0.51	0.71	294.68	335.76	260.28	329.08	403.12	268.4
Mrpl42	430.12	0.1	0.3	0.33	0.74	0.86	447.68	412.56	413.79	481.57	593.33	231.8
Mrpl43	942.55	-0.53	0.19	-2.81	0.005	0.029	762.79	1122.31	751.49	774.09	1190.56	1054.06
Mrpl44	816.92	0.24	0.2	1.17	0.24	0.46	887.72	746.12	783.52	991.92	785.88	706.37
Mrpl45	902.34	-0.23	0.2	-1.15	0.25	0.46	827.28	977.4	818.23	836.33	875.12	1079.68
Mrpl46	441.64	-0.28	0.22	-1.29	0.2	0.4	396.27	487.02	409.78	382.76	466.52	507.51
Mrpl47	220.91	-0.01	0.26	-0.05	0.96	0.98	220.1	221.72	230.92	209.28	234.83	208.62
Mrpl48	393.52	-0.46	0.22	-2.07	0.039	0.13	326.9	460.15	345.71	308.08	446.95	473.35
Mrpl49	796.12	0.02	0.21	0.1	0.92	0.96	802.53	789.72	764.84	840.22	896.25	683.19
Mrpl50	686.03	-0.06	0.21	-0.28	0.78	0.89	671.76	700.3	732.8	610.71	644.2	756.39
Mrpl51	1093.04	-0.46	0.2	-2.29	0.022	0.089	908.64	1277.45	831.58	985.7	1117.77	1437.13
Mrpl52	660.12	0.33	0.22	1.54	0.12	0.29	740.73	579.5	632.69	848.77	613.68	545.33
Mrpl53	153.47	-0.74	0.3	-2.48	0.013	0.061	110.13	196.8	112.12	108.14	230.13	163.48
Mrpl54	270.27	-0.63	0.26	-2.45	0.014	0.064	207.09	333.46	209.56	204.61	385.11	281.81
Mrpl55	263.11	-0.11	0.27	-0.4	0.69	0.83	252.28	273.95	241.6	262.96	340.5	207.4
Mrpl9	2213.36	-0.26	0.19	-1.35	0.18	0.37	2004.74	2421.99	2123.66	1885.82	2075.85	2768.13
Mrps10	332.23	-0.16	0.24	-0.68	0.5	0.7	312.99	351.46	325.69	300.3	379.63	323.29
Mrps11	242.56	-0.09	0.26	-0.35	0.73	0.85	233.93	251.18	228.25	239.62	225.43	276.94
Mrps12	2517.12	-0.1	0.19	-0.54	0.59	0.77	2421.66	2612.58	2072.93	2770.38	2426.53	2798.63
Mrps14	696.75	-0.5	0.22	-2.3	0.022	0.088	569.41	824.08	503.22	635.61	729.52	918.64
